Language_Family,Region
Afro-Asiatic,Sub-Saharan Africa
Afro-Asiatic,MENA & Central Asia
Austroasiatic,East Asia & Pacific
Austronesian,East Asia & Pacific
Dravidian,South Asia
Indo-European,South Asia
Indo-European,Europe
Indo-European,MENA & Central Asia
Japonic,East Asia & Pacific
Koreanic,East Asia & Pacific
Kra-Dai,East Asia & Pacific
Atlantic-Congo,Sub-Saharan Africa
Sino-Tibetan,East Asia & Pacific
Turkic,MENA & Central Asia
Turkic,Europe
Uralic,Europe
Vasconic,Europe
Hmong-Mien,East Asia & Pacific
Mongolic-Khitan,East Asia & Pacific
